Symbol,Company,Sector,Exchange,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,FinalPreAIScore,DollarVolume20,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,PullbackDepthPct,RangeContractionPct,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21
ALM,Almonty Industries Inc. - Common Shares,,NASDAQ,37.0,70.0,55.0,70.0,64.75,90573501.2593257,False,actionability_not_allowed: needs_more_time; today_focus_score_below_70: 55; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,needs_more_time,21.764999389648438,19.572570121880847,,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; No nearby breakout trigger was identified within 5% of current price.",,4.863753998481912,5.504793136211217,7.627113243031225,5.3995147298580015,10.944311237922854,,,,False,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,Structure type is no_clear_structure.,1.6949171328586976,-1.5945389112257846,1.6949171328586976,5.217576351345765,9.557867508734208,4.863753998481912,5.504793136211217
ADNT,Adient plc Ordinary Shares,,NYSE,40.0,60.0,58.0,70.0,63.3,23270671.661837008,False,today_focus_score_below_70: 58; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,22.860000610351562,22.06962028259649,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.",,0.7794871121163949,3.264127899377267,11.627913205011764,0.3071509083464985,,,,,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,Structure type is no_clear_structure.,8.358923662872497,-9.77088457269959,0.3071509083464985,3.1609504343637074,11.327216282938302,0.7794871121163949,3.264127899377267
ADM,Archer-Daniels-Midland Company Common Stock,,NYSE,40.0,70.0,62.0,60.0,63.2,337983836.55347216,False,today_focus_score_below_70: 62; focus_structure_score_below_65: 60; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,83.0999984741211,78.69762424193033,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.",,2.445319743987917,4.780798504127803,6.803299384716988,0.7761331515330427,11.569246933600486,,,,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,Structure type is no_clear_structure.,1.3764275392093683,-9.123639614133182,0.7761331515330427,4.562666607221432,10.195972936918663,2.445319743987917,4.780798504127803
AIP,"Arteris, Inc.  - Common Stock",,NASDAQ,37.0,70.0,62.0,55.0,61.2,48174861.48924389,False,today_focus_score_below_70: 62; focus_structure_score_below_65: 55; pullback_only_structure_below_70: 55,pullback_only,38.41999816894531,14.720000267028809,37.939998626708984,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,4.126741370612197,12.041033729422445,61.20189562509306,1.2651543479456517,28.55824848882582,,,,True,False,False,True,True,trendline_compression,True,True,True,False,True,True,False,high,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Price compression is present.; A nearby trigger level exists.,Volume dry-up was not detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,,1.3969494285142936,27.877211168910744,1.2651543479456517,10.746985571823064,-6.356546674411034,4.126741370612197,12.041033729422445
AMD,"Advanced Micro Devices, Inc. - Common Stock",,NASDAQ,43.0,90.0,68.0,35.0,60.3,20228416365.67195,False,today_focus_score_below_70: 68; focus_structure_score_below_65: 35; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 35; structure_disqualifier: Structure type is extended_no_base.,pullback_only,527.2000122070312,393.3599853515625,521.5399780273438,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,4.865648106399867,16.08212959485329,24.577213267639653,1.085254135473157,50.49660552345132,,,,True,False,False,True,True,extended_no_base,True,True,False,True,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; Volume has dried up during consolidation.; A nearby trigger level exists.,No clear compression/base detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,1.085254135473157,12.844483210132008,1.085254135473157,13.854095932752697,30.60027036122189,4.865648106399867,16.08212959485329
AAON,"AAON, Inc. - Common Stock",,NASDAQ,37.0,60.0,58.0,60.0,59.3,224553377.64999998,False,today_focus_score_below_70: 58; focus_structure_score_below_65: 60; rejected_structure_type: no_clear_structure; pullback_only_structure_below_70: 60; structure_disqualifier: Structure type is no_clear_structure.,pullback_only,145.8699951171875,126.66999816894531,145.8699951171875,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Price is more than 8% above EMA21; same-day risk is widening.; No nearby invalidation level; same-day risk is too wide.",,3.166026817133094,10.564721679058398,11.728224272511978,1.651564541594075,,,,,True,True,False,True,False,no_clear_structure,True,True,False,True,True,True,False,medium,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; Volume has dried up during consolidation.; EMA structure is acceptable.; A nearby trigger level exists.,No clear compression/base detected.; Extension risk is medium.; Invalidation is too far for clean same-day risk.,Structure type is no_clear_structure.,3.4843205574912828,10.894370584338676,1.651564541594075,9.555237437964282,26.28344062505511,3.166026817133094,10.564721679058398
AES,The AES Corporation Common Stock,,NYSE,45.0,60.0,68.0,50.0,58.8,165360853.0116108,False,today_focus_score_below_70: 68; focus_structure_score_below_65: 50; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,14.739999771118164,14.4399995803833,,breakout,No bullish ignition candle was detected.,,0.1201491098480334,0.7091506673548409,1.6348822874878488,0.4087156995577823,,,,,True,True,True,False,False,no_clear_structure,False,False,True,True,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Price compression is present.; Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear recent bullish impulse detected.; No controlled digestion after impulse was detected.,Structure type is no_clear_structure.,,50.588417449334614,0.4087156995577823,0.7041571323515461,28.041854357487328,0.1201491098480334,0.7091506673548409
AAL,"American Airlines Group, Inc. - Common Stock",,NASDAQ,50.0,80.0,57.0,45.0,57.95,934776992.9579154,False,actionability_not_allowed: needs_more_time; today_focus_score_below_70: 57; focus_structure_score_below_65: 45,needs_more_time,15.399999618530273,13.41706395318831,,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Resistance trigger is too far away to be a clean same-day trigger.; No nearby breakout trigger was identified within 5% of current price.",,-1.261175935461012,3.8230148844567546,14.070351724391006,10.552758658650596,6.03015171705189,,,,False,True,True,False,False,breakout_retest,True,True,False,False,True,False,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.,,10.552758658650596,2.6401987923271752,10.552758658650596,3.68224221644049,-55.41714255714496,-1.261175935461012,3.8230148844567546
ALGM,"Allegro MicroSystems, Inc. - Common Stock",,NASDAQ,37.0,50.0,54.0,65.0,57.4,137733231.48436967,False,today_focus_score_below_70: 54; rejected_structure_type: no_clear_structure; pullback_only_structure_below_70: 65; structure_disqualifier: Structure type is no_clear_structure.,pullback_only,51.400001525878906,48.72999954223633,51.400001525878906,pullback,"No bullish ignition candle was detected.; OBV is falling, weakening same-day confidence.; Support exists but is farther away, making same-day risk wider.; Price is more than 8% above EMA21; same-day risk is widening.",,4.426299502115172,8.25597014663446,16.550767987286065,2.1259679234980844,0.04967519366049222,,,,True,True,True,True,False,no_clear_structure,True,True,False,False,True,True,True,medium,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.; Extension risk is medium.,Structure type is no_clear_structure.,4.907604442966296,-22.014133251557723,2.1259679234980844,3.179022910011353,14.681647899029205,4.426299502115172,8.25597014663446
AMKR,"Amkor Technology, Inc. - Common Stock",,NASDAQ,40.0,50.0,54.0,60.0,55.4,361348681.4918747,False,today_focus_score_below_70: 54; focus_structure_score_below_65: 60; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,76.30000305175781,70.36453545287482,,breakout,"No bullish ignition candle was detected.; OBV is falling, weakening same-day confidence.; Support exists but is farther away, making same-day risk wider.; No nearby pullback or retest area was identified.",,4.481526873158304,6.218277975877617,13.031841239175401,2.0872427516411607,6.28846278107873,,,,True,False,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,Structure type is no_clear_structure.,4.910363798817952,-2.4545677570596114,2.0872427516411607,5.854244763118643,-0.329221466507823,4.481526873158304,6.218277975877617
ALKT,"Alkami Technology, Inc. - Common Stock",,NASDAQ,40.0,40.0,42.0,75.0,54.7,29587995.960187912,False,actionability_not_allowed: avoid; today_focus_score_below_70: 42; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,avoid,18.15999984741211,17.226596836775485,,no_trade,"No bullish ignition candle was detected.; OBV is falling, weakening same-day confidence.; Support exists but is farther away, making same-day risk wider.",,0.7088242120400823,3.2705477703471875,9.331094262687035,2.0798140126110143,,,,,True,True,True,False,False,no_clear_structure,True,True,False,True,True,True,True,low,Structure is clean enough to support focus-list review.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.,Structure type is no_clear_structure.,8.206852216619897,-52.2168549057799,2.0798140126110143,3.1669704876749694,33.920338864056546,0.7088242120400823,3.2705477703471875
ALK,"Alaska Air Group, Inc. Common Stock",,NYSE,37.0,60.0,43.0,60.0,54.05,139525870.93064556,False,actionability_not_allowed: avoid; today_focus_score_below_70: 43; focus_structure_score_below_65: 60,avoid,47.29999923706055,41.86856224772537,,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Resistance trigger is too far away to be a clean same-day trigger.; No nearby breakout trigger was identified within 5% of current price.",,0.3629364875781915,4.875824461341871,9.041223490090955,7.720335689885527,,,,,False,True,True,False,False,breakout_retest,True,True,False,False,True,False,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,,9.086772243981112,-12.750251532812618,7.720335689885527,4.649140530131546,9.846516590663546,0.3629364875781915,4.875824461341871
ALMU,"Aeluma, Inc. - Common Stock",,NASDAQ,37.0,70.0,40.0,55.0,53.5,52131944.37575216,False,actionability_not_allowed: avoid; today_focus_score_below_70: 40; focus_structure_score_below_65: 55; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,avoid,31.790000915527344,18.969999313354492,26.559999465942383,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Resistance trigger is too far away to be a clean same-day trigger.; Price is 8-15% above EMA8 and is extended for same-day entry.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,9.106773147249925,13.037947669892457,28.57680837802904,19.69127091395968,,,,,False,False,False,True,True,no_clear_structure,True,True,True,True,True,False,False,high,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Price compression is present.; Volume has dried up during consolidation.,EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is no_clear_structure.,19.69127091395968,28.323348778188507,8.39608996394925,11.534133393829393,30.53704783728801,9.106773147249925,13.037947669892457
AAPL,Apple Inc. - Common Stock,,NASDAQ,50.0,55.0,43.0,60.0,52.8,14939330634.408747,False,actionability_not_allowed: avoid; today_focus_score_below_70: 43; focus_structure_score_below_65: 60; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,avoid,,299.5601175959948,,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; No nearby breakout trigger was identified within 5% of current price.",,1.9943102514595745,5.220953555683061,15.90418875043883,,,,,,False,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is tight.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,Structure type is no_clear_structure.,0.07931471774049736,-14.307591860974188,0.07931471774049736,4.961895306261521,1.2292342679330326,1.9943102514595745,5.220953555683061
ADI,"Analog Devices, Inc. - Common Stock",,NASDAQ,40.0,50.0,54.0,45.0,49.4,2034814195.9333832,False,today_focus_score_below_70: 54; focus_structure_score_below_65: 45; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,433.5,407.08494914885597,,breakout,"No bullish ignition candle was detected.; OBV is falling, weakening same-day confidence.; Support exists but is farther away, making same-day risk wider.",,2.443506929862571,3.958648702652634,9.629016735487461,2.433834474449381,5.309546449093839,,,,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.,Structure type is no_clear_structure.,2.958409416951313,-2.7314825898851147,2.433834474449381,3.8079070400148574,-66.85989002347654,2.443506929862571,3.958648702652634
